ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,January,February,March,April,May,June,July,August,September,October,November,December,Seasons Count,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly Org,Child friendly,Snowparks Org,Snowparks,Nightskiing Org,Nightskiing,Summer skiing Org,Summer skiing
1,Hemsedal,60.9282437,8.38348693,Norway,Europe,46,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,1450,620,29,10,4,43,6,325,15,6,0,21,22921,Yes,1,Yes,1,Yes,1,No,0
2,Geilosiden Geilo,60.5345261,8.2063719,Norway,Europe,44,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1178,800,18,12,4,34,2,100,18,6,0,24,14225,Yes,1,Yes,1,Yes,1,No,0
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,1,No,0,No,0,No,0
4,Red Mountain Resort-Rossland,49.1055201,-117.8462801,Canada,North America,60,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2075,1185,20,50,50,120,7,0,2,5,1,8,9200,Yes,1,Yes,1,Yes,1,No,0
5,Hafjell,61.2303686,10.52901357,Norway,Europe,45,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1030,195,33,7,4,44,6,150,14,3,1,18,21060,Yes,1,Yes,1,Yes,1,No,0
6,Voss,60.6837065,6.407904807,Norway,Europe,43,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,960,284,25,4,11,40,0,40,7,4,0,11,11900,Yes,1,Yes,1,No,0,No,0
7,Porter,-39.67098835,176.8766681,New Zealand,Oceania,61,June - September,0,0,0,0,0,1,1,1,0,1,0,0,1,1980,1300,5,0,5,10,0,0,5,1,0,6,5600,No,0,No,0,No,0,Yes,1
8,Nevados de Chillan,-36.613844,-72.0718055,Chile,South America,57,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,2700,1600,10,15,10,35,13,0,4,6,1,11,11080,Yes,1,Yes,1,No,0,Yes,1
9,Hochschwarzeck,47.6283728,12.9205276,Germany,Europe,22,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1385,1030,4,0,0,4,0,0,3,1,0,4,2880,Yes,1,No,0,No,0,No,0
10,Rossfeld - Berchtesgaden - Oberau,47.6513062,13.0589774,Germany,Europe,20,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1554,1300,7,1,0,8,6,0,4,0,0,4,3229,Yes,1,Yes,1,Yes,1,No,0
11,Fernie,49.5041747,-115.062867,Canada,North America,67,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2134,1052,42,58,42,142,5,11,3,7,0,10,14514,Yes,1,Yes,1,No,0,No,0
12,Sun Peaks,50.8844684,-119.8823295,Canada,North America,62,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2082,1198,13,78,43,134,8,0,6,6,0,12,13895,Yes,1,Yes,1,Yes,1,No,0
13,Panorama,50.7369988,-119.1205606,Canada,North America,62,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2365,1140,20,55,25,100,5,0,3,6,4,13,11890,Yes,1,Yes,1,Yes,1,No,0
14,Brauneck Lenggries Wegscheid,47.674786,11.554735,Germany,Europe,35,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1712,700,8,22,4,34,3,0,16,4,1,21,19100,Yes,1,No,0,Yes,1,No,0
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,0,3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,Yes,1,Yes,1,No,0,Yes,1
16,Treble Cone,-44.6323751,168.8728247,New Zealand,Oceania,68,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,1960,1260,4,9,9,22,0,32,2,2,0,4,4520,No,0,Yes,1,No,0,Yes,1
17,Val Gardena,46.5766427,11.6444217,Italy,Europe,54,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2518,1236,52,105,18,175,10,630,29,41,14,84,121914,Yes,1,Yes,1,No,0,No,0
18,Gressoney - La-Trinite (Monterosa Ski),45.8597574,7.752615678,Italy,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3275,1212,23,94,15,132,8,655,9,9,12,30,31984,Yes,1,Yes,1,No,0,No,0
19,"Les Portes du Soleil (Les Gets, Avoriaz, Chatel)",46.1550977,6.6633312,France,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,1,Yes,1,Yes,1,No,0
20,Espace San Bernardo – La Rosière/La Thuile,45.62647605,6.852962415,France,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2641,1176,55,83,22,160,11,0,21,18,1,40,53669,Yes,1,Yes,1,No,0,No,0
21,The Lecht,57.200996,-3.247204,United Kingdom,Europe,33,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,775,637,5,9,4,18,0,0,12,1,0,13,9750,No,0,Yes,1,Yes,1,No,0
22,Steamboat,35.7540215,-109.8537507,United States,North America,120,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3221,2103,25,95,45,165,4,0,1,14,2,17,32720,Yes,1,Yes,1,Yes,1,No,0
23,Howelsen Hill-Steamboat Springs,40.4805325,-106.8406049,United States,North America,21,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2175,2040,1,1,0,2,0,0,3,1,0,4,2220,No,0,No,0,No,0,No,0
24,Les Contamines-Hauteluce,45.7970821,6.689198693,France,Europe,39,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2437,1164,40,60,20,120,0,0,12,8,4,24,33972,Yes,1,No,0,Yes,1,No,0
25,Crested Butte,38.8698201,-106.984043,United States,North America,98,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3707,2774,27,69,25,121,0,0,5,10,0,15,19717,Yes,1,Yes,1,No,0,No,0
26,Jackson Hole,34.641109,-98.67619161,United States,North America,119,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3185,1924,16,50,50,116,11,0,1,9,3,13,20480,Yes,1,Yes,1,No,0,No,0
27,Park City,40.6460921,-111.4979963,United States,North America,97,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3049,2080,27,152,71,250,4,480,5,32,4,41,76110,Yes,1,Yes,1,Yes,1,No,0
28,Nevis Range,56.8522081,-4.9987681,United Kingdom,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,655,91,7,10,3,20,0,0,8,3,1,12,10350,Yes,1,No,0,No,0,No,0
29,Arapahoe Basin,40.1211211,-80.6698426,United States,North America,83,October - June,1,1,1,1,1,1,0,0,0,1,1,1,1,3790,3286,40,25,40,105,4,0,2,5,0,7,7200,Yes,1,Yes,1,No,0,No,0
30,The Remarkables,-45.0549597,168.8158586,New Zealand,Oceania,74,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,1943,1586,3,4,3,10,1,0,3,4,0,7,8400,Yes,1,Yes,1,No,0,Yes,1
31,Valchiavenna – Madesimo/Campodolcino,46.4254637,9.389833451,Italy,Europe,39,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1550,1082,13,28,5,46,0,0,1,9,3,13,26060,Yes,1,Yes,1,Yes,1,No,0
33,Livigno – Carosello/Mottolino,46.5200926,10.1289555,Italy,Europe,46,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2798,1816,30,65,20,115,6,0,25,13,6,44,50850,Yes,1,Yes,1,Yes,1,No,0
34,Madonna di Campiglio-Pinzolo-Folgarida-Marilleva,46.2269942,10.8270157,Italy,Europe,50,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2504,770,60,68,22,150,5,0,14,34,17,65,102340,Yes,1,Yes,1,Yes,1,No,0
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,1,Yes,1,No,0,No,0
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,43,September - June,1,1,1,1,1,1,0,0,1,1,1,1,1,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,1,No,0,No,0,No,0
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,1,Yes,1,Yes,1,No,0
38,"Via Lattea (Sestriere ski resort, Montgenevre, Sauze d’Oulx)",44.954538,6.880658,Italy,Europe,48,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2749,1372,96,220,84,400,7,0,29,35,7,71,96433,Yes,1,No,0,Yes,1,No,0
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,46,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,1,No,0,Yes,1,No,0
40,Kicking Horse - Golden,51.2937094,-116.9624651,Canada,North America,67,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2450,1190,20,20,60,100,10,10,1,3,1,5,5250,Yes,1,No,0,No,0,No,0
41,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,42.54115005,1.733382094,Andorra,Europe,47,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,Yes,1,Yes,1,Yes,1,No,0
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,48,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,1,Yes,1,No,0,No,0
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,52,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,1,Yes,1,No,0,No,0
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,58,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,1,Yes,1,No,0,No,0
45,Glacier 3000 / Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,54,October - May,1,1,1,1,1,0,0,0,0,1,1,1,1,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,1,Yes,1,No,0,No,0
46,Big White,49.715991,-118.933872,Canada,North America,61,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2285,1508,18,56,29,103,7,0,3,10,1,14,22625,Yes,1,Yes,1,Yes,1,No,0
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,1,Yes,1,Yes,1,No,0
48,Coronet Peak,-44.9158907,168.7395712,New Zealand,Oceania,74,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,1649,1229,8,16,16,40,0,202,5,3,0,8,7200,Yes,1,Yes,1,Yes,1,Yes,1
49,Les Deux alpes,45.0099949,6.1237609,France,Europe,49,"December - April, June - August, October - November",1,1,1,1,0,1,1,1,0,1,1,1,3,3560,1280,110,56,34,200,16,224,26,21,7,54,72334,Yes,1,Yes,1,Yes,1,Yes,1
50,Valle Nevado,-33.352964,-70.2486776,Chile,South America,64,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,3670,2860,4,14,21,39,4,0,9,5,1,15,15930,Yes,1,Yes,1,No,0,Yes,1
51,Ben Lomond,-30.0237148,151.6591787,Australia,Oceania,47,July - September,0,0,0,0,0,0,1,1,1,0,0,0,1,1572,1460,2,3,1,6,0,0,0,7,0,7,0,Yes,1,No,0,No,0,Yes,1
52,Portillo,-32.8364183,-70.1290835,Chile,South America,57,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,3310,2580,10,4,6,20,3,0,9,5,0,14,9900,Yes,1,No,0,No,0,Yes,1
53,Catedral Alta Patagonia,-41.16556,-71.444171,Argentina,South America,51,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,2180,1030,30,60,30,120,9,0,19,17,2,38,35130,Yes,1,Yes,1,No,0,Yes,1
54,Whistler,50.1171903,-122.9543022,Canada,North America,93,"November - May, June - August",1,1,1,1,1,1,1,1,0,0,1,1,2,2284,653,40,110,50,200,11,300,14,18,5,37,59203,Yes,1,Yes,1,No,0,Yes,1
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,46,September - June,1,1,1,1,1,1,0,0,1,1,1,1,1,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,1,Yes,1,No,0,No,0
56,Fonna Glacier,60.2168823,6.435787158,Norway,Europe,42,May - September,0,0,0,0,1,1,1,1,1,0,0,0,1,1460,1200,2,2,0,4,0,0,1,0,0,1,1200,Yes,1,Yes,1,No,0,Yes,1
57,Tignes - Val d'Isere,45.4580331,6.918835739,France,Europe,56,"November - May, June - August",1,1,1,1,1,1,1,1,0,0,1,1,2,3456,1550,170,78,52,300,6,848,33,42,11,86,145461,Yes,1,Yes,1,No,0,Yes,1
58,La Plagne (Paradiski),45.50429855,6.704912253,France,Europe,50,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3167,1207,139,59,27,225,6,417,56,32,12,100,136733,Yes,1,Yes,1,No,0,No,0
59,Les Orres,44.5140024,6.5510313,France,Europe,35,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2720,1550,30,60,10,100,0,190,11,9,0,20,21020,Yes,1,Yes,1,No,0,No,0
60,Espace Diamant-Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,45.78908,6.554098,France,Europe,40,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2069,1000,132,49,11,192,7,472,53,30,0,83,90852,Yes,1,Yes,1,Yes,1,No,0
63,Le Lys - Cauterets,42.8823131,-0.1553793,France,Europe,37,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1360,932,21,12,3,36,0,0,6,4,1,11,13038,Yes,1,Yes,1,No,0,No,0
64,Pont d'Espagne - Cauterets,42.8510114,-0.1399209,France,Europe,35,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1756,1516,3,1,0,4,0,0,2,1,1,4,4150,Yes,1,No,0,No,0,No,0
65,La Grave - La Meije,45.0454525,6.3067223,France,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3534,1470,3,0,0,3,0,0,1,0,2,3,1460,Yes,1,No,0,No,0,No,0
66,"Les 3 Vallees (Courchevel, Saint Martin de Belleville, and 4 others)",45.4140984,6.6349892,France,Europe,61,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3230,1110,312,216,72,600,12,2383,62,63,40,165,250860,Yes,1,Yes,1,Yes,1,No,0
68,Alpe d'Huez,45.092401,6.0699443,France,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3330,1125,70,130,50,250,16,963,27,21,20,68,92097,Yes,1,Yes,1,Yes,1,No,0
70,Sainte-Foy-Tarentaise,45.590355,6.8849094,France,Europe,31,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2620,1550,10,25,6,41,0,10,2,4,0,6,7100,Yes,1,No,0,No,0,No,0
71,Les Arcs / Peisey-Vallandry (Paradiski),43.4629097,6.4786269,France,Europe,50,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3226,1200,104,70,26,200,7,793,17,27,8,52,82641,Yes,1,Yes,1,Yes,1,No,0
73,Bonneval sur Arc,45.3716864,7.0467945,France,Europe,28,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3000,1850,13,11,1,25,0,0,8,3,0,11,8213,Yes,1,No,0,No,0,No,0
75,Serre Chevalier-Briancon/Chantemerle/Villeneuve-la-Salle/Le Monetier-les-Bains,44.9107381,6.5500282,France,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2800,1200,138,80,32,250,9,575,33,21,7,61,72066,Yes,1,Yes,1,Yes,1,No,0
76,Kleine Scheidegg / Mannlichen-Grindelwald / Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,1,No,0,No,0,No,0
77,Balme-Les Autannes-Vallorcine-Le Tour,46.2856827,4.7804099,France,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2270,1453,13,16,0,29,0,0,8,2,2,12,14860,Yes,1,Yes,1,No,0,No,0
78,Grands Montets-Argentiere (Chamonix),45.9777193,6.9238925,France,Europe,62,December - May,1,1,1,1,1,0,0,0,0,0,0,1,1,3275,1252,6,9,14,29,6,0,1,4,4,9,15756,Yes,1,Yes,1,No,0,No,0
